initial,t,line,type,D,hittlimit
98,"[0.1, 0.1403529788979707, 0.26611988465252906, 0.28361246146029034, 0.3025410920969742, 0.3296293327733216, 0.3326135363459067, 0.3645739272297121, 0.38633860453372504, 0.3897785457585512, 0.3899767304920691, 0.39573632001837145, 0.3963122451077935, 0.39979956672361955, 0.40751556352029783, 0.5646873887920961, 0.5680036510043425]","[98, 100, 73, 106, 11, 95, 94, 12, 84, 37, 76, 97, 78, 77, 79, 74, 75]",dynamic,0.01,true
98,"[0.1, 30.37499981455592, 66.88677842874766, 66.88677842874766, 66.88677842874766, 66.88677842874766, 66.88677842874766, 100.0]","[98, 100, 11, 37, 71, 73, 106, 12]",static,0.01,false
99,[0.1],[99],dynamic,0.01,false
99,[0.1],[99],static,0.01,false
100,"[0.1, 0.1422516192686333, 0.24530661119105637, 0.27370140270166293, 0.2747333804138351, 0.30644454154449996, 0.31140199561068127, 0.31355347479826545, 0.3207656162141756, 0.32816596910584367, 0.3587212491775145, 0.3621078167465347, 0.3625080805895646, 0.3657707148158944, 0.36671302511622333, 0.36938175936712453, 0.37254227077742924, 0.40048224142064764, 0.48166003696244375, 0.4977184671348711, 0.5000344904741892, 0.6090546137464811, 0.6095881780108977, 0.6382966353313875]","[100, 98, 106, 104, 73, 11, 91, 94, 93, 107, 97, 76, 84, 78, 77, 12, 79, 37, 29, 26, 27, 2, 6, 75]",dynamic,0.01,true
100,"[0.1, 30.210816864325228, 66.4179371860934, 66.4179371860934, 66.4179371860934, 66.4179371860934, 66.4179371860934, 97.30723475902927]","[100, 98, 11, 37, 71, 73, 106, 12]",static,0.01,false
101,[0.1],[101],dynamic,0.01,false
101,[0.1],[101],static,0.01,false
102,[0.1],[102],dynamic,0.01,false
102,[0.1],[102],static,0.01,false
103,[0.1],[103],dynamic,0.01,false
103,[0.1],[103],static,0.01,false
104,[0.1],[104],dynamic,0.01,false
104,[0.1],[104],static,0.01,false
105,[0.1],[105],dynamic,0.01,false
105,[0.1],[105],static,0.01,false
106,[0.1],[106],dynamic,0.01,false
106,[0.1],[106],static,0.01,false
107,[0.1],[107],dynamic,0.01,false
107,[0.1],[107],static,0.01,false
108,[0.1],[108],dynamic,0.01,false
108,[0.1],[108],static,0.01,false
